0,1,2,3,4,5,6,7,8,9,10
rolls/buns,cake bar,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
margarine,frozen meals,,,,,,,,,
yogurt,bottled water,,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
candles,whole milk,,,,,,,,,
herbs,newspapers,,,,,,,,,
butter,bottled water,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
instant coffee,berries,,,,,,,,,
finished products,curd cheese,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,bottled beer,sugar,,,,,,,,
candles,chewing gum,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
pickled vegetables,hygiene articles,,,,,,,,,
pip fruit,butter,,,,,,,,,
dessert,root vegetables,,,,,,,,,
ham,frozen meals,,,,,,,,,
sausage,house keeping products,,,,,,,,,
napkins,bottled water,,,,,,,,,
detergent,whole milk,,,,,,,,,
beef,candy,,,,,,,,,
bottled water,whole milk,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
soda,pastry,,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
canned beer,newspapers,,,,,,,,,
pip fruit,pastry,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
Instant food products,white bread,semi-finished bread,,,,,,,,
butter,bottled beer,,,,,,,,,
long life bakery product,butter milk,Instant food products,,,,,,,,
whole milk,coffee,,,,,,,,,
bottled beer,curd,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
ice cream,shopping bags,,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
whole milk,soda,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
processed cheese,dishes,,,,,,,,,
sliced cheese,yogurt,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
white wine,canned vegetables,,,,,,,,,
other vegetables,yogurt,soda,,,,,,,,
whole milk,margarine,,,,,,,,,
coffee,tidbits,,,,,,,,,
pork,berries,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
citrus fruit,whipped/sour cream,onions,other vegetables,butter,,,,,,
nuts/prunes,margarine,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
salt,yogurt,rolls/buns,whole milk,,,,,,,
pet care,newspapers,dog food,,,,,,,,
frozen meals,dental care,,,,,,,,,
whole milk,flour,,,,,,,,,
soda,soda,,,,,,,,,
other vegetables,frozen dessert,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
frozen potato products,margarine,,,,,,,,,
chocolate,dessert,,,,,,,,,
pork,long life bakery product,,,,,,,,,
chicken,yogurt,hygiene articles,brown bread,,,,,,,
meat,yogurt,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
waffles,specialty bar,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
pork,citrus fruit,,,,,,,,,
ham,yogurt,,,,,,,,,
sausage,fruit/vegetable juice,chewing gum,,,,,,,,
beef,onions,,,,,,,,,
sausage,pork,yogurt,napkins,,,,,,,
tropical fruit,soda,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
whipped/sour cream,photo/film,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
condensed milk,other vegetables,,,,,,,,,
canned beer,ham,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
chicken,meat,chewing gum,bottled beer,baking powder,shopping bags,,,,,
other vegetables,bottled beer,,,,,,,,,
sausage,butter,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
candy,other vegetables,,,,,,,,,
curd,frozen fish,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
UHT-milk,newspapers,bottled water,,,,,,,,
sausage,yogurt,tidbits,,,,,,,,
brandy,pastry,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
shopping bags,flower (seeds),curd cheese,decalcifier,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
root vegetables,brown bread,,,,,,,,,
hard cheese,rolls/buns,white wine,,,,,,,,
berries,white bread,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
root vegetables,whole milk,newspapers,,,,,,,,
other vegetables,rolls/buns,rolls/buns,whole milk,newspapers,,,,,,
napkins,soda,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
whole milk,margarine,dessert,,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
jam,margarine,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
meat,grapes,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
meat,semi-finished bread,,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
coffee,frozen potato products,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
beef,soda,white wine,soft cheese,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
curd,tropical fruit,,,,,,,,,
canned beer,turkey,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
sausage,frozen vegetables,,,,,,,,,
pip fruit,margarine,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
whole milk,frozen vegetables,white wine,,,,,,,,
ham,cream cheese ,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
meat,salt,,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
packaged fruit/vegetables,butter,,,,,,,,,
bottled beer,tropical fruit,newspapers,whole milk,tropical fruit,soft cheese,hard cheese,white wine,,,
soda,curd,soda,,,,,,,,
berries,canned fish,waffles,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
red/blush wine,sugar,,,,,,,,,
other vegetables,cat food,bottled water,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
liquor (appetizer),soda,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
dog food,pork,,,,,,,,,
citrus fruit,berries,,,,,,,,,
sausage,meat,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
beef,frozen vegetables,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
hamburger meat,chicken,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chicken,whole milk,,,,,,,,,
misc. beverages,pet care,,,,,,,,,
hamburger meat,pastry,brown bread,,,,,,,,
long life bakery product,soda,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
turkey,yogurt,,,,,,,,,
dessert,chewing gum,,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
meat spreads,bottled beer,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
beef,bottled water,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
curd,curd,,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
other vegetables,citrus fruit,pork,frozen vegetables,cat food,curd,spices,soda,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
soda,photo/film,,,,,,,,,
whole milk,root vegetables,rolls/buns,whipped/sour cream,,,,,,,
whole milk,other vegetables,,,,,,,,,
newspapers,salty snack,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
soda,canned beer,other vegetables,whole milk,,,,,,,
tropical fruit,domestic eggs,candy,sugar,,,,,,,
liquor,UHT-milk,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
sauces,rolls/buns,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
whole milk,waffles,soft cheese,domestic eggs,dish cleaner,bathroom cleaner,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
pip fruit,hamburger meat,butter,yogurt,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
curd,frankfurter,white bread,pip fruit,waffles,,,,,,
other vegetables,soda,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
frankfurter,root vegetables,fruit/vegetable juice,margarine,,,,,,,
specialty bar,candy,margarine,,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
whole milk,specialty bar,,,,,,,,,
berries,cream cheese ,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
tropical fruit,pork,,,,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
cleaner,pastry,,,,,,,,,
curd,curd,,,,,,,,,
soda,coffee,cling film/bags,,,,,,,,
pip fruit,zwieback,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
other vegetables,pip fruit,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
ham,whole milk,pastry,herbs,herbs,newspapers,chewing gum,whole milk,,,
hygiene articles,rolls/buns,red/blush wine,,,,,,,,
dishes,tropical fruit,,,,,,,,,
meat,whole milk,,,,,,,,,
beverages,dessert,,,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
ham,other vegetables,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
butter,whole milk,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
rolls/buns,oil,chocolate,,,,,,,,
pastry,berries,,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
beverages,whole milk,pasta,,,,,,,,
pastry,whole milk,,,,,,,,,
UHT-milk,domestic eggs,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
root vegetables,dessert,,,,,,,,,
chicken,onions,,,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
brown bread,soda,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,cat food,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
beef,yogurt,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
meat,whole milk,ready soups,,,,,,,,
pork,oil,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bathroom cleaner,whole milk,,,,,,,,,
yogurt,grapes,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
frankfurter,frankfurter,hard cheese,frozen potato products,bottled water,shopping bags,,,,,
rolls/buns,rolls/buns,,,,,,,,,
brown bread,honey,pet care,,,,,,,,
meat,root vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
brown bread,soda,,,,,,,,,
white bread,napkins,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
frozen vegetables,cookware,,,,,,,,,
soda,beverages,,,,,,,,,
sausage,whole milk,,,,,,,,,
sparkling wine,whole milk,dessert,salt,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
sausage,pastry,shopping bags,,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
pork,berries,,,,,,,,,
pork,hamburger meat,whole milk,whole milk,fruit/vegetable juice,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
sausage,rolls/buns,,,,,,,,,
butter,root vegetables,,,,,,,,,
yogurt,yogurt,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
pork,white bread,,,,,,,,,
sausage,frozen meals,long life bakery product,soda,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
shopping bags,skin care,,,,,,,,,
beef,napkins,,,,,,,,,
pork,specialty bar,,,,,,,,,
cream cheese ,yogurt,bottled beer,bottled beer,,,,,,,
white wine,ice cream,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sugar,curd,,,,,,,,,
citrus fruit,candy,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
ham,domestic eggs,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
cereals,newspapers,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
hamburger meat,salt,,,,,,,,,
flower (seeds),flower (seeds),,,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
yogurt,yogurt,,,,,,,,,
sausage,yogurt,,,,,,,,,
soda,rolls/buns,,,,,,,,,
berries,rolls/buns,,,,,,,,,
pork,cake bar,,,,,,,,,
dessert,soda,,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soda,waffles,,,,,,,,,
pip fruit,soda,,,,,,,,,
bottled water,canned beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
root vegetables,curd,,,,,,,,,
soda,grapes,,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
sausage,grapes,,,,,,,,,
shopping bags,sausage,,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
chicken,butter,,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
other vegetables,newspapers,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
whole milk,grapes,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
soda,citrus fruit,,,,,,,,,
chicken,yogurt,,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
pork,dishes,,,,,,,,,
chicken,chocolate marshmallow,hygiene articles,,,,,,,,
packaged fruit/vegetables,fish,frozen meals,specialty chocolate,brown bread,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
sausage,napkins,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
dessert,berries,newspapers,onions,,,,,,,
onions,onions,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
meat,whole milk,,,,,,,,,
yogurt,coffee,,,,,,,,,
pastry,yogurt,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
root vegetables,white wine,,,,,,,,,
pork,root vegetables,,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
ice cream,napkins,,,,,,,,,
ham,roll products ,brown bread,,,,,,,,
yogurt,coffee,,,,,,,,,
pork,brown bread,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
syrup,whole milk,,,,,,,,,
white bread,bottled water,,,,,,,,,
sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
frankfurter,processed cheese,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
Instant food products,pip fruit,,,,,,,,,
frankfurter,soda,,,,,,,,,
soft cheese,yogurt,hard cheese,coffee,roll products ,,,,,,
berries,grapes,onions,,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
chocolate,butter,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
waffles,chicken,hard cheese,dishes,,,,,,,
specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
onions,waffles,,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
napkins,other vegetables,pot plants,,,,,,,,
potato products,pip fruit,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
beef,hygiene articles,,,,,,,,,
pip fruit,sauces,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
mustard,domestic eggs,,,,,,,,,
white bread,bottled water,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
yogurt,canned fish,pasta,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
rolls/buns,curd,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
meat,nuts/prunes,,,,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
other vegetables,pastry,,,,,,,,,
cream cheese ,candles,,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
rolls/buns,baking powder,onions,bottled water,,,,,,,
frozen potato products,domestic eggs,curd cheese,,,,,,,,
bottled water,coffee,,,,,,,,,
citrus fruit,syrup,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
beef,yogurt,,,,,,,,,
root vegetables,white wine,liquor (appetizer),,,,,,,,
whole milk,shopping bags,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
beef,other vegetables,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
salt,citrus fruit,,,,,,,,,
berries,other vegetables,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
soda,shopping bags,,,,,,,,,
fish,meat,,,,,,,,,
yogurt,citrus fruit,pastry,,,,,,,,
meat,whole milk,,,,,,,,,
bottled water,berries,oil,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
whole milk,pasta,rolls/buns,,,,,,,,
whole milk,bottled water,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,detergent,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
butter,photo/film,,,,,,,,,
ice cream,cream cheese ,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,flower soil/fertilizer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,processed cheese,curd cheese,,,,,,,,
seasonal products,other vegetables,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
canned beer,brown bread,,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
shopping bags,rubbing alcohol,,,,,,,,,
specialty bar,margarine,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
frankfurter,margarine,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
specialty chocolate,canned fish,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
beef,white bread,,,,,,,,,
chicken,onions,,,,,,,,,
pastry,whole milk,dessert,,,,,,,,
white wine,bottled water,,,,,,,,,
sausage,curd,,,,,,,,,
soda,soda,,,,,,,,,
finished products,cocoa drinks,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
canned beer,other vegetables,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
berries,pastry,shopping bags,,,,,,,,
sausage,baking powder,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
other vegetables,bottled water,whipped/sour cream,,,,,,,,
yogurt,shopping bags,,,,,,,,,
chicken,other vegetables,pastry,onions,,,,,,,
UHT-milk,whole milk,,,,,,,,,
sausage,whole milk,rolls/buns,bottled beer,,,,,,,
whole milk,whole milk,,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pip fruit,newspapers,root vegetables,,,,,,,,
soda,soda,,,,,,,,,
canned beer,curd,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
grapes,misc. beverages,,,,,,,,,
pip fruit,berries,,,,,,,,,
pickled vegetables,butter,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,newspapers,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
other vegetables,soda,soda,,,,,,,,
chewing gum,coffee,sugar,,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
yogurt,hard cheese,other vegetables,rolls/buns,,,,,,,
candy,rolls/buns,coffee,yogurt,,,,,,,
oil,other vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
misc. beverages,berries,,,,,,,,,
soda,brown bread,,,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
hard cheese,pastry,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,,,,,,,,
domestic eggs,canned beer,bottled water,waffles,,,,,,,
chicken,other vegetables,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
coffee,fruit/vegetable juice,,,,,,,,,
berries,frankfurter,beef,brown bread,,,,,,,
liquor,cream cheese ,rolls/buns,,,,,,,,
ham,brown bread,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
dessert,yogurt,,,,,,,,,
whole milk,baking powder,,,,,,,,,
ice cream,soda,,,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
berries,whole milk,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
candy,margarine,butter,,,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
soda,red/blush wine,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
waffles,white bread,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,pastry,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
rolls/buns,bottled beer,white bread,,,,,,,,
shopping bags,newspapers,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
root vegetables,grapes,whole milk,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
bottled water,tropical fruit,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
whole milk,rolls/buns,canned fruit,onions,soda,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
bottled water,frozen dessert,newspapers,,,,,,,,
citrus fruit,tropical fruit,pork,other vegetables,whole milk,yogurt,flower (seeds),,,,
pickled vegetables,bottled beer,,,,,,,,,
beverages,bottled water,,,,,,,,,
pork,root vegetables,,,,,,,,,
pastry,beverages,,,,,,,,,
hamburger meat,soda,,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
pastry,chewing gum,,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
rolls/buns,onions,,,,,,,,,
hamburger meat,baking powder,dessert,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
dessert,frozen meals,,,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
citrus fruit,candy,,,,,,,,,
whole milk,yogurt,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
yogurt,curd,pastry,,,,,,,,
tropical fruit,onions,,,,,,,,,
beverages,bottled water,,,,,,,,,
brown bread,frozen fish,,,,,,,,,
sausage,other vegetables,,,,,,,,,
dessert,newspapers,domestic eggs,,,,,,,,
cat food,coffee,,,,,,,,,
dessert,shopping bags,,,,,,,,,
ham,rolls/buns,,,,,,,,,
oil,other vegetables,,,,,,,,,
pastry,frankfurter,long life bakery product,whipped/sour cream,,,,,,,
whole milk,soda,tea,,,,,,,,
butter milk,spices,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,cream cheese ,,,,,,,,,
tropical fruit,whipped/sour cream,canned vegetables,,,,,,,,
root vegetables,grapes,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
herbs,sugar,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
other vegetables,frankfurter,root vegetables,newspapers,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
sausage,whole milk,,,,,,,,,
white bread,butter,,,,,,,,,
turkey,yogurt,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
pastry,bottled water,,,,,,,,,
bottled beer,yogurt,butter milk,,,,,,,,
sausage,citrus fruit,whole milk,butter milk,salty snack,dessert,specialty chocolate,,,,
citrus fruit,pastry,,,,,,,,,
beef,butter,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
chicken,coffee,,,,,,,,,
soda,curd,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
UHT-milk,berries,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pastry,tropical fruit,citrus fruit,coffee,,,,,,,
whole milk,brown bread,domestic eggs,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
rolls/buns,curd,cat food,,,,,,,,
yogurt,pastry,kitchen towels,,,,,,,,
frankfurter,curd,coffee,,,,,,,,
cleaner,pip fruit,pastry,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
soda,processed cheese,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
berries,other vegetables,sausage,pip fruit,rolls/buns,brown bread,sauces,,,,
pasta,yogurt,cat food,,,,,,,,
onions,dish cleaner,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
soda,newspapers,long life bakery product,,,,,,,,
ice cream,canned beer,,,,,,,,,
onions,hard cheese,,,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
other vegetables,butter,whipped/sour cream,,,,,,,,
